VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=2400
DATAPACKING=POINT
5.168687 -0.116618 4.052414 
5.399307 -0.127928 4.052414 
5.629928 -0.137883 4.052414 
5.860547 -0.147278 4.052414 
6.091164 -0.156143 4.052414 
6.321779 -0.163832 4.052414 
6.552389 -0.169625 4.052414 
6.782994 -0.172768 4.052414 
7.013594 -0.172500 4.052414 
7.244186 -0.168076 4.052414 
7.474771 -0.159169 4.052414 
7.705347 -0.145974 4.052414 
7.935914 -0.128764 4.052414 
8.166470 -0.107826 4.052414 
8.397014 -0.083430 4.052414 
8.627545 -0.055813 4.052414 
8.858063 -0.025137 4.052414 
9.088567 0.008664 4.052414 
9.319055 0.045671 4.052414 
9.549527 0.085884 4.052414 
9.779981 0.129251 4.052414 
10.010418 0.175699 4.052414 
10.240835 0.225148 4.052414 
10.471231 0.277517 4.052414 
10.701607 0.332730 4.052414 
10.931960 0.390713 4.052414 
2.424810 0.461972 5.065517 
2.647456 0.516636 5.065517 
2.870090 0.568875 5.065517 
3.092713 0.618780 5.065517 
3.315327 0.666427 5.065517 
3.537932 0.711868 5.065517 
3.760529 0.755106 5.065517 
3.983120 0.796063 5.065517 
4.205704 0.834519 5.065517 
4.428284 0.870037 5.065517 
4.650860 0.901906 5.065517 
4.873433 0.929405 5.065517 
5.096004 0.952340 5.065517 
5.318574 0.970754 5.065517 
5.541144 0.984888 5.065517 
5.763715 0.995202 5.065517 
5.986287 1.002347 5.065517 
6.208863 1.007074 5.065517 
6.431443 1.009788 5.065517 
6.654027 1.010516 5.065517 
6.876617 1.009233 5.065517 
7.099214 1.005879 5.065517 
7.321819 1.000385 5.065517 
7.544432 0.992685 5.065517 
7.767055 0.982633 5.065517 
7.989689 0.969976 5.065517 
8.212335 0.954482 5.065517 
8.434993 0.935971 5.065517 
8.657664 0.914323 5.065517 
8.880350 0.889477 5.065517 
9.103052 0.861446 5.065517 
9.325770 0.830456 5.065517 
9.548506 0.796769 5.065517 
9.771260 0.760560 5.065517 
9.994033 0.721937 5.065517 
10.216827 0.680963 5.065517 
10.439642 0.637678 5.065517 
10.662479 0.592106 5.065517 
10.885340 0.544262 5.065517 
11.108225 0.494161 5.065517 
2.424810 0.461972 5.065517 
2.647467 0.409704 5.065517 
2.870136 0.360350 5.065517 
3.092816 0.313857 5.065517 
3.315506 0.270181 5.065517 
3.538204 0.229295 5.065517 
3.760910 0.191193 5.065517 
3.983623 0.155906 5.065517 
4.206342 0.123511 5.065517 
4.429065 0.094159 5.065517 
4.651793 0.068082 5.065517 
4.874523 0.045494 5.065517 
5.097256 0.026364 5.065517 
5.319989 0.010468 5.065517 
5.542723 -0.002611 5.065517 
5.765455 -0.013479 5.065517 
5.988186 -0.022871 5.065517 
6.210913 -0.031531 5.065517 
6.433637 -0.039514 5.065517 
6.656356 -0.046247 5.065517 
6.879069 -0.051090 5.065517 
7.101775 -0.053373 5.065517 
7.324474 -0.052415 5.065517 
7.547164 -0.047550 5.065517 
7.769844 -0.038459 5.065517 
7.992514 -0.025284 5.065517 
8.215172 -0.008250 5.065517 
8.437817 0.012396 5.065517 
8.660449 0.036405 5.065517 
8.883066 0.063547 5.065517 
9.105668 0.093642 5.065517 
9.328253 0.126684 5.065517 
9.550821 0.162695 5.065517 
9.773370 0.201651 5.065517 
9.995900 0.243503 5.065517 
10.218409 0.288190 5.065517 
10.440898 0.335654 5.065517 
10.663364 0.385838 5.065517 
10.885806 0.438690 5.065517 
11.108225 0.494161 5.065517 
2.908719 0.555453 6.078621 
3.123475 0.608978 6.078621 
3.338223 0.659852 6.078621 
3.552962 0.708181 6.078621 
3.767694 0.754064 6.078621 
3.982421 0.797578 6.078621 
4.197142 0.838764 6.078621 
4.411859 0.877597 6.078621 
4.626573 0.913943 6.078621 
4.841285 0.947499 6.078621 
5.055996 0.977743 6.078621 
5.270707 1.004109 6.078621 
5.485418 1.026417 6.078621 
5.700131 1.044673 6.078621 
5.914847 1.059048 6.078621 
6.129566 1.069887 6.078621 
6.344290 1.077700 6.078621 
6.559020 1.083083 6.078621 
6.773756 1.086398 6.078621 
6.988500 1.087726 6.078621 
7.203252 1.087103 6.078621 
7.418014 1.084537 6.078621 
7.632786 1.080024 6.078621 
7.847569 1.073558 6.078621 
8.062365 1.064981 6.078621 
8.277174 1.053938 6.078621 
8.491998 1.040101 6.078621 
8.706836 1.023219 6.078621 
8.921691 1.003131 6.078621 
9.136563 0.979765 6.078621 
9.351454 0.953150 6.078621 
9.566363 0.923570 6.078621 
9.781293 0.891349 6.078621 
9.996244 0.856696 6.078621 
10.211216 0.819730 6.078621 
10.426212 0.780510 6.078621 
10.641232 0.739059 6.078621 
10.856276 0.695378 6.078621 
